Date,plot,pototal,ponh,poscaled,rbtotal,rbnh,rbscaled,soilWC,temp,temp2
9/11/2014,HI,6,5,0.555555556,19,15,0.441176471,NA,17.62222222,310.542716
9/18/2014,HI,7,5,0.555555556,14,9,0.264705882,37.13,14.75555556,217.7264199
9/19/2014,LO,12,11,0.916666667,42,38,0.844444444,NA,12.88,165.8944
9/25/2014,LO,10,9,0.75,50,43,0.955555556,36.83,13.24444444,175.4153085
9/28/2014,HI,6,6,0.666666667,21,18,0.529411765,22.15,15.01111111,225.3334568
10/2/2014,LO,9,9,0.75,25,22,0.488888889,26.5,15.01111111,225.3334568
10/5/2014,HI,3,2,0.222222222,5,3,0.088235294,29.7,9.277777778,86.0771605
10/9/2014,HI,10,8,0.888888889,11,10,0.294117647,39.3,12.2222222,149.3827155
10/12/2014,LO,5,4,0.333333333,47,45,1,35.4,10.18888889,103.8134568
10/16/2014,LO,3,3,0.25,25,23,0.511111111,41.98,12.35555556,152.6597532
10/23/2014,LO,1,0,0,10,9,0.2,41.2,8.411111111,70.74679012
10/26/2014,HI,5,3,0.333333333,11,11,0.323529412,28.3,11.45555556,131.2297532
10/30/2014,HI,0,0,0,5,2,0.058823529,26.3,11.75,138.0625
11/2/2014,LO,0,0,0,8,3,0.066666667,33.76,4.711111111,22.1945679
11/6/2014,LO,0,0,0,12,11,0.244444444,36.6,10.24444444,104.9486419
11/9/2014,HI,1,0,0,4,3,0.088235294,NA,8.144444444,66.3319753
11/13/2014,HI,0,0,0,4,1,0.029411765,24.1,9.511111111,90.46123457
3/22/2015,LO,2,2,0.166666667,7,7,0.155555556,NA,10.35555556,107.237531
4/5/2015,HI,2,2,0.222222222,32,32,0.941176471,NA,5.333333333,28.44444444
4/28/2015,HI,4,4,0.444444444,34,34,1,39.24444444,11.26666667,126.9377779
5/1/2015,LO,11,11,0.916666667,25,23,0.511111111,44.33333333,9.711111111,94.30567901
5/4/2015,HI,9,9,1,28,27,0.794117647,36.05555556,12.21111111,149.1112345
5/8/2015,LO,1,1,0.083333333,4,4,0.088888889,26.64444444,17.16666667,294.6944446
5/14/2015,HI,1,1,0.111111111,11,11,0.323529412,31.14444444,12.2,148.84
5/16/2015,LO,1,1,0.083333333,6,6,0.133333333,28.17777778,14.73333333,217.071111
5/21/2015,HI,3,3,0.333333333,22,22,0.647058824,25.88888889,12.62222222,159.3204938
5/26/2015,HI,1,1,0.111111111,11,11,0.323529412,NA,15.57777778,242.6671606
5/27/2015,LO,0,0,0,0,0,0,20.4,16.1,259.21
6/3/2015,HI,2,2,0.222222222,15,15,0.441176471,42.78888889,12.77777778,163.271605
6/8/2015,LO,12,12,1,19,17,0.377777778,43.94444444,13.56666667,184.0544445
6/10/2015,HI,0,0,0,8,8,0.235294118,29.84444444,15.9,252.81
6/11/2015,LO,1,1,0.083333333,4,2,0.044444444,24.11111111,16.84444444,283.7353085
6/16/2015,HI,1,0,0,3,2,0.058823529,32.55555556,18.92222222,358.0504937
6/18/2015,LO,1,1,0.083333333,2,2,0.044444444,25.01111111,19.34444444,374.2075307
6/24/2015,HI,0,0,0,1,1,0.029411765,28.5,19.83333333,393.361111
6/25/2015,LO,1,0,0,1,1,0.022222222,17.65555556,19.34444444,374.2075307
6/30/2015,HI,2,2,0.222222222,4,4,0.117647059,37.55555556,17.16666667,294.6944446
7/1/2015,LO,6,6,0.5,8,6,0.133333333,27.24444444,16.78888889,281.8667902
7/7/2015,HI,4,4,0.444444444,22,20,0.588235294,42.83333333,18.75555556,351.7708644
7/9/2015,LO,0,0,0,9,9,0.2,30.21111111,19.62222222,385.0316049
7/16/2015,HI,5,5,0.555555556,26,23,0.676470588,45.72222222,17.3,299.29
